City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
75,Zhaodong,CN,60.31,clear sky,46.0833,125.9833,Fuhe Hotel
76,Ixtapa,MX,81.23,broken clouds,20.7,-105.2,hotel la terminal
77,Bredasdorp,ZA,56.91,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
78,Port Hardy,CA,48.45,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
79,Makakilo City,US,73.56,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
80,Akdagmadeni,TR,81.55,scattered clouds,39.6603,35.8836,Hanedan Otel
81,Athabasca,CA,51.26,clear sky,54.7169,-113.2854,Athabasca Lodge Motel
82,Sabha,LY,98.87,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
83,Avarua,CK,69.85,few clouds,-21.2078,-159.775,Paradise Inn
84,Meulaboh,ID,76.75,moderate rain,4.1363,96.1285,Kost Pria
86,Saldanha,ZA,57.6,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
87,Hilo,US,83.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
88,Kang,BW,85.91,clear sky,-23.6752,22.7876,Kang Ultra Stop
89,Duncan,US,82.29,clear sky,34.5023,-97.9578,Days Inn by Wyndham Duncan
90,Khatanga,RU,26.47,broken clouds,71.9667,102.5,"""Khatanga"""
91,Iesolo,IT,65.1,broken clouds,45.5331,12.6448,Hotel Metropol
92,Jalu,LY,94.77,clear sky,29.0331,21.5482,صاحبة الفخامة
93,Hithadhoo,MV,82.44,few clouds,-0.6,73.0833,Scoop Guest House
94,Nikolskoye,RU,57.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
95,Margate,GB,64.69,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
96,Tahta,EG,92.23,clear sky,26.7693,31.5021,فندق الزيات
97,Kaitangata,NZ,39.92,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
98,Buncrana,IE,60.57,broken clouds,55.1333,-7.45,Inishowen Gateway Hotel
99,Hobart,AU,49.05,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
100,Yellowknife,CA,45.12,overcast clouds,62.456,-114.3525,The Explorer Hotel
101,Tela,HN,78.75,broken clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
102,Waitati,NZ,44.8,broken clouds,-45.75,170.5667,Arden Country House BnB Dunedin
104,Mingguang,CN,70.66,clear sky,32.7802,117.9638,Yonghao Hotel
105,Petropavlovsk-Kamchatskiy,RU,42.57,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
106,Wanning,CN,79.79,broken clouds,18.8003,110.3967,Paradise Hotel
107,Bandarbeyla,SO,77.32,scattered clouds,9.4942,50.8122,JABIR HOTEL
108,Moindou,NC,69.8,clear sky,-21.6924,165.677,Equi-lodge de Moindou
109,Linjiang,CN,63.41,overcast clouds,41.8069,126.9078,格林豪泰
111,Lompoc,US,59.52,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
112,La Orilla,MX,78.22,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
113,Flin Flon,CA,55.17,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
115,Caravelas,BR,68.95,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
116,Tasiilaq,GL,39.36,light rain,65.6145,-37.6368,The Red House
117,Spencer,US,69.84,overcast clouds,43.1414,-95.1444,Reston Inn & Suites
118,Tuatapere,NZ,39.52,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
120,Butaritari,KI,81.7,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
121,Malakal,SS,78.75,broken clouds,9.5334,31.6605,Nile Palace Hotel
122,Maumere,ID,78.87,broken clouds,-8.6199,122.2111,Sylvia Hotel
123,Palana,RU,41.58,broken clouds,59.1167,159.9667,Chikago
124,Martinsville,US,75.0,clear sky,36.6915,-79.8725,Hampton Inn Martinsville
125,Talnakh,RU,34.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
126,Nouadhibou,MR,74.19,clear sky,20.931,-17.0347,El Medina
129,Namibe,AO,70.61,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
130,Heihe,CN,54.99,overcast clouds,50.2441,127.4902,Hotel Strannik
131,College,US,46.9,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
132,Narsaq,GL,57.42,light rain,60.9167,-46.05,Sleep In Narsaq
133,Pevek,RU,33.66,light snow,69.7008,170.3133,Severnoye Zoloto
134,Iseyin,NG,78.39,light rain,7.9667,3.6,Momak Hotels And Suites
135,Mar Del Plata,AR,66.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
136,Cidreira,BR,64.15,clear sky,-30.1811,-50.2056,Hotel Castelo
137,Vestmannaeyjar,IS,52.79,clear sky,63.4427,-20.2734,Glamping & Camping
138,Sweetwater,US,90.0,broken clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
139,Moose Factory,CA,59.0,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
140,Omboue,GA,78.6,overcast clouds,-1.5746,9.2618,Hotel Olako
