City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Makakilo City,US,21.3469,-158.0858,73.56,87,20,3.44,few clouds
80,Akdagmadeni,TR,39.6603,35.8836,81.55,20,29,5.08,scattered clouds
81,Athabasca,CA,54.7169,-113.2854,51.26,84,7,2.39,clear sky
82,Sabha,LY,27.0377,14.4283,98.87,8,0,1.86,clear sky
83,Avarua,CK,-21.2078,-159.775,69.85,88,20,2.3,few clouds
84,Meulaboh,ID,4.1363,96.1285,76.75,85,64,1.9,moderate rain
85,Albany,US,42.6001,-73.9662,62.42,58,100,1.66,overcast clouds
86,Saldanha,ZA,-33.0117,17.9442,57.6,73,100,16.06,overcast clouds
87,Hilo,US,19.7297,-155.09,83.28,87,14,4.0,few clouds
88,Kang,BW,-23.6752,22.7876,85.91,8,0,6.44,clear sky
89,Duncan,US,34.5023,-97.9578,82.29,69,0,12.66,clear sky
90,Khatanga,RU,71.9667,102.5,26.47,87,70,8.72,broken clouds
91,Iesolo,IT,45.5331,12.6448,65.1,65,66,4.68,broken clouds
92,Jalu,LY,29.0331,21.5482,94.77,14,0,6.64,clear sky
93,Hithadhoo,MV,-0.6,73.0833,82.44,69,11,7.61,few clouds
94,Nikolskoye,RU,59.7035,30.7861,57.09,91,90,9.01,overcast clouds
95,Margate,GB,51.3813,1.3862,64.69,47,28,8.01,scattered clouds
96,Tahta,EG,26.7693,31.5021,92.23,18,0,15.01,clear sky
97,Kaitangata,NZ,-46.2817,169.8464,39.92,93,65,4.23,broken clouds
98,Buncrana,IE,55.1333,-7.45,60.57,63,84,8.77,broken clouds
99,Hobart,AU,-42.8794,147.3294,49.05,84,40,6.91,scattered clouds
100,Yellowknife,CA,62.456,-114.3525,45.12,100,100,10.0,overcast clouds
101,Tela,HN,15.7833,-87.45,78.75,94,75,2.3,broken clouds
102,Waitati,NZ,-45.75,170.5667,44.8,77,74,5.64,broken clouds
103,Beloha,MG,-25.1667,45.05,76.1,50,48,13.58,scattered clouds
104,Mingguang,CN,32.7802,117.9638,70.66,89,1,6.69,clear sky
105,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,42.57,77,2,15.48,clear sky
106,Wanning,CN,18.8003,110.3967,79.79,80,59,2.51,broken clouds
107,Bandarbeyla,SO,9.4942,50.8122,77.32,85,50,30.53,scattered clouds
108,Moindou,NC,-21.6924,165.677,69.8,74,3,6.58,clear sky
109,Linjiang,CN,41.8069,126.9078,63.41,98,100,1.23,overcast clouds
110,Provideniya,RU,64.3833,-173.3,45.25,91,100,11.59,overcast clouds
111,Lompoc,US,34.6391,-120.4579,59.52,88,100,13.8,overcast clouds
112,La Orilla,MX,17.9833,-102.2333,78.22,85,100,1.63,overcast clouds
113,Flin Flon,CA,54.7682,-101.865,55.17,53,20,7.18,few clouds
114,Bilma,NE,18.6853,12.9164,102.9,20,31,8.77,scattered clouds
115,Caravelas,BR,-17.7125,-39.2481,68.95,88,83,15.52,broken clouds
116,Tasiilaq,GL,65.6145,-37.6368,39.36,97,100,15.14,light rain
117,Spencer,US,43.1414,-95.1444,69.84,90,98,12.35,overcast clouds
118,Tuatapere,NZ,-46.1333,167.6833,39.52,91,95,5.44,overcast clouds
119,Kysyl-Syr,RU,63.8986,122.7617,34.75,78,98,4.65,overcast clouds
120,Butaritari,KI,3.0707,172.7902,81.7,68,41,11.95,scattered clouds
121,Malakal,SS,9.5334,31.6605,78.75,83,72,1.36,broken clouds
122,Maumere,ID,-8.6199,122.2111,78.87,80,68,0.72,broken clouds
123,Palana,RU,59.1167,159.9667,41.58,65,56,16.69,broken clouds
124,Martinsville,US,36.6915,-79.8725,75.0,82,0,0.0,clear sky
125,Talnakh,RU,69.4865,88.3972,34.21,76,100,8.25,overcast clouds
126,Nouadhibou,MR,20.931,-17.0347,74.19,80,4,21.97,clear sky
127,Gao,ML,16.6362,1.637,96.98,30,39,9.66,scattered clouds
128,Chokurdakh,RU,70.6333,147.9167,32.86,73,81,6.62,broken clouds
129,Namibe,AO,-15.1961,12.1522,70.61,75,21,11.65,few clouds
130,Heihe,CN,50.2441,127.4902,54.99,96,100,10.94,overcast clouds
131,College,US,64.8569,-147.8028,46.9,85,40,0.0,scattered clouds
132,Narsaq,GL,60.9167,-46.05,57.42,75,100,4.88,light rain
133,Pevek,RU,69.7008,170.3133,33.66,99,100,19.53,light snow
134,Iseyin,NG,7.9667,3.6,78.39,78,100,3.87,light rain
135,Mar Del Plata,AR,-38.0023,-57.5575,66.22,87,0,25.01,clear sky
136,Cidreira,BR,-30.1811,-50.2056,64.15,68,0,14.12,clear sky
137,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,62,0,5.75,clear sky
138,Sweetwater,US,25.7634,-80.3731,90.0,75,75,11.5,broken clouds
139,Moose Factory,CA,51.2585,-80.6094,59.0,43,100,4.54,overcast clouds
140,Omboue,GA,-1.5746,9.2618,78.6,72,91,10.94,overcast clouds
141,Lucea,JM,18.451,-78.1736,88.86,68,3,14.14,clear sky
142,Svetlyy,RU,54.675,20.1347,55.45,77,20,8.95,few clouds
143,Vardo,NO,70.3705,31.1107,46.38,93,100,25.32,light intensity shower rain
144,Abnub,EG,27.2696,31.1511,91.76,19,0,13.42,clear sky
145,Kruisfontein,ZA,-34.0033,24.7314,61.88,72,92,13.69,overcast clouds
146,Galesong,ID,-5.3166,119.3661,77.02,71,81,4.74,broken clouds
147,Saint-Philippe,RE,-21.3585,55.7679,71.19,83,38,14.07,light rain
148,San Quintin,MX,30.4833,-115.95,67.64,75,96,7.78,overcast clouds
149,Dikson,RU,73.5069,80.5464,33.31,81,70,11.05,broken clouds
150,Benguela,AO,-12.5763,13.4055,75.6,69,70,10.6,broken clouds
151,Upernavik,GL,72.7868,-56.1549,34.34,63,52,17.16,broken clouds
152,Coahuayana,MX,18.7333,-103.6833,76.23,92,98,2.89,overcast clouds
153,Bagdarin,RU,54.4333,113.6,34.9,68,64,5.95,broken clouds
154,Erenhot,CN,43.6475,111.9767,57.45,31,3,5.08,clear sky
155,San Patricio,US,28.017,-97.5169,89.83,65,2,8.57,clear sky
156,Masterton,NZ,-40.9597,175.6575,48.88,96,90,1.9,overcast clouds
157,Saskylakh,RU,71.9167,114.0833,34.21,91,100,14.45,overcast clouds
158,Clarence Town,AU,-32.5833,151.7833,61.95,58,4,11.41,clear sky
159,Iroquois Falls,CA,48.7669,-80.6831,48.36,91,100,8.1,moderate rain
160,Along,IN,28.1667,94.7667,74.21,98,63,0.69,broken clouds
161,Beaverton,US,45.4871,-122.8037,54.41,88,0,4.0,clear sky
162,Moron,AR,-34.6534,-58.6198,73.94,62,100,11.77,overcast clouds
163,Saint-Georges,GD,12.0564,-61.7485,85.89,69,65,16.11,broken clouds
164,Lata,PT,40.1629,-8.3327,86.92,46,79,2.42,broken clouds
165,Pacifica,US,37.6138,-122.4869,60.48,89,75,13.8,mist
166,Pravia,ES,43.4906,-6.1508,68.68,60,40,17.27,scattered clouds
167,Tiksi,RU,71.6872,128.8694,35.44,98,100,4.38,overcast clouds
168,Hasaki,JP,35.7333,140.8333,77.4,81,100,11.74,overcast clouds
169,Tual,ID,-5.6667,132.75,80.73,75,100,10.49,overcast clouds
170,Clyde River,CA,70.4692,-68.5914,36.72,82,100,12.88,overcast clouds
171,Impfondo,CG,1.6381,18.0667,73.78,97,100,1.57,light rain
172,Llanes,ES,43.4198,-4.7549,68.59,64,100,18.68,overcast clouds
173,Les Cayes,HT,18.2,-73.75,88.83,59,4,4.94,clear sky
174,Mogadishu,SO,2.0371,45.3438,77.18,82,39,17.69,scattered clouds
175,Takaungu,KE,-3.6837,39.8566,76.64,71,19,12.77,few clouds
176,Osakarovka,KZ,50.565,72.5692,50.29,38,0,9.89,clear sky
177,Praxedis Guerrero,MX,31.3667,-106.0167,76.46,36,0,11.86,clear sky
178,Kavaratti,IN,10.5669,72.642,80.82,79,100,11.81,overcast clouds
179,Kutum,SD,14.2,24.6667,76.41,51,100,10.38,overcast clouds
180,Lagoa,PT,39.05,-27.9833,73.33,81,5,8.99,clear sky
181,Goderich,CA,43.7501,-81.7165,72.91,75,97,13.27,overcast clouds
182,Miri,MY,4.4148,114.0089,80.31,77,100,1.3,overcast clouds
183,Abu Dhabi,AE,24.4667,54.3667,95.11,52,20,6.91,few clouds
184,Kalmunai,LK,7.4167,81.8167,81.46,78,68,0.47,broken clouds
185,Araouane,ML,18.9048,-3.5265,102.85,13,26,6.55,scattered clouds
186,Matagami,CA,49.7502,-77.6328,55.08,46,100,4.38,overcast clouds
187,Baghdad,IQ,33.3406,44.4009,98.51,14,0,5.75,clear sky
188,Tuktoyaktuk,CA,69.4541,-133.0374,39.63,90,100,15.08,overcast clouds
189,Covington,US,39.0837,-84.5086,79.25,73,0,9.22,clear sky
190,New Norfolk,AU,-42.7826,147.0587,48.7,78,100,2.8,light rain
191,Acarau,BR,-2.8856,-40.12,88.41,55,42,17.52,scattered clouds
192,Bulgan,MN,48.8125,103.5347,40.66,79,82,2.21,broken clouds
193,Khash,IR,28.2211,61.2158,82.26,11,6,18.63,clear sky
194,Tibiri,NE,13.5627,7.0485,82.15,61,100,11.63,overcast clouds
195,Basco,PH,20.4487,121.9702,83.43,74,99,16.53,overcast clouds
